Trial,Gamma_1,Beta_1,Gamma_2,Beta_2,Approximation_Ratio,Probability_on_Optimal
0,0.6704965337961263,1.4762558261610736,4.376023811444001,4.032206811034506,99.9999987347646,99.99998883054566
1,2.3515826472165573,4.329650261550784,1.1614403385110428,4.191453412347013,99.99999739546959,99.99997819333994
2,4.727233946139301,1.1385420976111076,5.966596235558144,2.6904290982084116,99.99999888364114,99.99999048893345
3,4.002871047533898,2.2264901798875547,0.4648381950025174,2.8895571679694863,99.99999867598859,99.99998915290081
4,0.0028553544361173077,0.2999911194627164,0.0075125922273458195,0.29880119438184005,99.99996550928641,99.9997073013573
5,2.366559537830052,5.551636245147127,6.107969478706332,4.047512751364956,99.9999985915311,99.99998797703327
